Date,Power [kW],Power-1,Power-2,Temperature [C],WeekDay^2,Sin_hour
2019-01-01 02:00:00,94.725,94.166,93.576,10.26083333,4,-9.29559391923785
2019-01-01 03:00:00,97.048,94.725,94.166,9.666666667,4,-8.024659857791685
2019-01-01 04:00:00,95.032,97.048,94.725,8.640833333,4,-6.2068584884144515
2019-01-01 05:00:00,96.062,95.032,97.048,9.093333333,4,-3.9660699703704005
2019-01-01 06:00:00,94.803,96.062,95.032,8.3925,4,-1.455000338086136
2019-01-01 07:00:00,108.339,94.803,96.062,7.6975,4,1.1552251627369516
2019-01-01 08:00:00,165.053,108.339,94.803,7.696666667,4,3.686723977819363
2019-01-01 09:00:00,167.099,165.053,108.339,8.685,4,5.966978646412833
2019-01-01 10:00:00,168.176,167.099,165.053,9.961666667,4,7.8405935811517145
2019-01-01 11:00:00,167.014,168.176,167.099,11.29083333,4,9.17988502052864
2019-01-01 12:00:00,166.904,167.014,168.176,12.48083333,4,9.893582466233818
2019-01-01 13:00:00,165.091,166.904,167.014,14.08083333,4,9.933048616783237
2019-01-01 14:00:00,166.673,165.091,166.904,15.055,4,9.295593919237854
2019-01-01 15:00:00,166.719,166.673,165.091,15.81416667,4,8.024659857791692
2019-01-01 16:00:00,170.029,166.719,166.673,15.7225,4,6.206858488414452
2019-01-01 17:00:00,173.931,170.029,166.719,14.49,4,3.96606997037041
2019-01-01 18:00:00,177.147,173.931,170.029,14.13,4,1.455000338086137
2019-01-01 19:00:00,123.014,177.147,173.931,13.16083333,4,-1.1552251627369503
2019-01-01 20:00:00,105.908,123.014,177.147,12.58666667,4,-3.6867239778193617
2019-01-01 21:00:00,105.253,105.908,123.014,13.02583333,4,-5.966978646412833
2019-01-01 22:00:00,107.703,105.253,105.908,12.035,4,-7.840593581151714
2019-01-01 23:00:00,108.823,107.703,105.253,11.66083333,4,-9.179885020528637
2019-01-02 00:00:00,127.347,108.823,107.703,11.49833333,9,-9.893582466233818
2019-01-02 01:00:00,122.654,127.347,108.823,11.14416667,9,-9.933048616783237
2019-01-02 02:00:00,122.644,122.654,127.347,10.79083333,9,-9.29559391923785
2019-01-02 03:00:00,122.521,122.644,122.654,10.44833333,9,-8.024659857791685
2019-01-02 04:00:00,119.207,122.521,122.644,10.28083333,9,-6.2068584884144515
2019-01-02 05:00:00,130.348,119.207,122.521,10.50916667,9,-3.9660699703704005
2019-01-02 06:00:00,158.392,130.348,119.207,10.19166667,9,-1.455000338086136
2019-01-02 07:00:00,249.993,158.392,130.348,9.485833333,9,1.1552251627369516
2019-01-02 08:00:00,396.278,249.993,158.392,9.899166667,9,3.686723977819363
2019-01-02 09:00:00,447.683,396.278,249.993,10.32,9,5.966978646412833
2019-01-02 10:00:00,468.863,447.683,396.278,12.59333333,9,7.8405935811517145
2019-01-02 11:00:00,469.82,468.863,447.683,12.57416667,9,9.17988502052864
2019-01-02 12:00:00,470.791,469.82,468.863,12.99166667,9,9.893582466233818
2019-01-02 13:00:00,455.86,470.791,469.82,15.01333333,9,9.933048616783237
2019-01-02 14:00:00,465.906,455.86,470.791,14.22833333,9,9.295593919237854
2019-01-02 15:00:00,441.077,465.906,455.86,13.98833333,9,8.024659857791692
2019-01-02 16:00:00,420.479,441.077,465.906,13.29333333,9,6.206858488414452
2019-01-02 17:00:00,383.074,420.479,441.077,12.085,9,3.96606997037041
2019-01-02 18:00:00,355.676,383.074,420.479,11.01083333,9,1.455000338086137
2019-01-02 19:00:00,264.848,355.676,383.074,10.74583333,9,-1.1552251627369503
2019-01-02 20:00:00,208.469,264.848,355.676,10.4725,9,-3.6867239778193617
2019-01-02 21:00:00,162.771,208.469,264.848,10.11,9,-5.966978646412833
2019-01-02 22:00:00,135.841,162.771,208.469,10.15,9,-7.840593581151714
2019-01-02 23:00:00,131.398,135.841,162.771,9.993333333,9,-9.179885020528637
2019-01-03 00:00:00,139.419,131.398,135.841,9.7075,16,-9.893582466233818
2019-01-03 01:00:00,117.674,139.419,131.398,9.424166667,16,-9.933048616783237
2019-01-03 02:00:00,118.583,117.674,139.419,8.835833333,16,-9.29559391923785
2019-01-03 03:00:00,114.688,118.583,117.674,8.150833333,16,-8.024659857791685
2019-01-03 04:00:00,113.338,114.688,118.583,6.75425,16,-6.2068584884144515
2019-01-03 05:00:00,118.651,113.338,114.688,5.8405,16,-3.9660699703704005
2019-01-03 06:00:00,140.224,118.651,113.338,5.3895,16,-1.455000338086136
2019-01-03 07:00:00,222.579,140.224,118.651,4.25825,16,1.1552251627369516
2019-01-03 08:00:00,334.367,222.579,140.224,3.686916667,16,3.686723977819363
2019-01-03 09:00:00,308.638,334.367,222.579,3.586666667,16,5.966978646412833
2019-01-03 10:00:00,337.947,308.638,334.367,3.7025,16,7.8405935811517145
2019-01-03 11:00:00,349.226,337.947,308.638,5.44275,16,9.17988502052864
2019-01-03 12:00:00,337.546,349.226,337.947,7.8085,16,9.893582466233818
2019-01-03 13:00:00,332.487,337.546,349.226,8.758333333,16,9.933048616783237
2019-01-03 14:00:00,338.973,332.487,337.546,8.355833333,16,9.295593919237854
2019-01-03 15:00:00,351.47,338.973,332.487,8.859166667,16,8.024659857791692
2019-01-03 16:00:00,311.817,351.47,338.973,8.2825,16,6.206858488414452
2019-01-03 17:00:00,256.114,311.817,351.47,7.250833333,16,3.96606997037041
2019-01-03 18:00:00,237.905,256.114,311.817,7.2075,16,1.455000338086137
2019-01-03 19:00:00,190.59,237.905,256.114,6.8295,16,-1.1552251627369503
2019-01-03 20:00:00,153.344,190.59,237.905,6.448833333,16,-3.6867239778193617
2019-01-03 21:00:00,141.224,153.344,190.59,5.80025,16,-5.966978646412833
2019-01-03 22:00:00,127.01,141.224,153.344,5.585666667,16,-7.840593581151714
2019-01-03 23:00:00,123.985,127.01,141.224,5.88825,16,-9.179885020528637
2019-01-04 00:00:00,104.439,123.985,127.01,6.146666667,25,-9.893582466233818
2019-01-04 01:00:00,86.457,104.439,123.985,6.3855,25,-9.933048616783237
2019-01-04 02:00:00,86.414,86.457,104.439,6.135333333,25,-9.29559391923785
2019-01-04 03:00:00,83.217,86.414,86.457,6.245833333,25,-8.024659857791685
2019-01-04 04:00:00,82.815,83.217,86.414,6.3245,25,-6.2068584884144515
2019-01-04 05:00:00,87.201,82.815,83.217,6.2085,25,-3.9660699703704005
2019-01-04 06:00:00,102.312,87.201,82.815,6.02525,25,-1.455000338086136
2019-01-04 07:00:00,188.686,102.312,87.201,5.706916667,25,1.1552251627369516
2019-01-04 08:00:00,261.516,188.686,102.312,5.841833333,25,3.686723977819363
2019-01-04 09:00:00,290.835,261.516,188.686,6.19625,25,5.966978646412833
2019-01-04 10:00:00,308.959,290.835,261.516,6.964166667,25,7.8405935811517145
2019-01-04 11:00:00,300.391,308.959,290.835,7.773333333,25,9.17988502052864
2019-01-04 12:00:00,331.518,300.391,308.959,9.4825,25,9.893582466233818
2019-01-04 13:00:00,313.652,331.518,300.391,10.96416667,25,9.933048616783237
2019-01-04 14:00:00,312.089,313.652,331.518,11.93083333,25,9.295593919237854
2019-01-04 15:00:00,304.326,312.089,313.652,12.80666667,25,8.024659857791692
2019-01-04 16:00:00,294.737,304.326,312.089,12.62083333,25,6.206858488414452
2019-01-04 17:00:00,276.394,294.737,304.326,12.31166667,25,3.96606997037041
2019-01-04 18:00:00,234.526,276.394,294.737,12.2375,25,1.455000338086137
2019-01-04 19:00:00,176.092,234.526,276.394,11.89166667,25,-1.1552251627369503
2019-01-04 20:00:00,158.612,176.092,234.526,11.57666667,25,-3.6867239778193617
2019-01-04 21:00:00,136.778,158.612,176.092,11.23666667,25,-5.966978646412833
2019-01-04 22:00:00,132.568,136.778,158.612,11.00833333,25,-7.840593581151714
2019-01-04 23:00:00,122.298,132.568,136.778,10.88166667,25,-9.179885020528637
2019-01-05 00:00:00,101.056,122.298,132.568,10.2875,36,-9.893582466233818
2019-01-05 01:00:00,85.658,101.056,122.298,9.729166667,36,-9.933048616783237
2019-01-05 02:00:00,80.95,85.658,101.056,9.294166667,36,-9.29559391923785
2019-01-05 03:00:00,81.633,80.95,85.658,8.623333333,36,-8.024659857791685
2019-01-05 04:00:00,78.515,81.633,80.95,7.71,36,-6.2068584884144515
2019-01-05 05:00:00,78.718,78.515,81.633,7.521666667,36,-3.9660699703704005
2019-01-05 06:00:00,80.415,78.718,78.515,7.439166667,36,-1.455000338086136
2019-01-05 07:00:00,106.814,80.415,78.718,7.4275,36,1.1552251627369516
2019-01-05 08:00:00,137.94,106.814,80.415,7.4375,36,3.686723977819363
2019-01-05 09:00:00,137.635,137.94,106.814,8.131666667,36,5.966978646412833
2019-01-05 10:00:00,149.528,137.635,137.94,8.8875,36,7.8405935811517145
2019-01-05 11:00:00,146.475,149.528,137.635,9.395833333,36,9.17988502052864
2019-01-05 12:00:00,148.06,146.475,149.528,11.0225,36,9.893582466233818
2019-01-05 13:00:00,155.084,148.06,146.475,12.49416667,36,9.933048616783237
2019-01-05 14:00:00,149.155,155.084,148.06,13.31333333,36,9.295593919237854
2019-01-05 15:00:00,163.783,149.155,155.084,13.4675,36,8.024659857791692
2019-01-05 16:00:00,157.765,163.783,149.155,13.31583333,36,6.206858488414452
2019-01-05 17:00:00,157.768,157.765,163.783,12.17166667,36,3.96606997037041
2019-01-05 18:00:00,152.412,157.768,157.765,11.68583333,36,1.455000338086137
2019-01-05 19:00:00,119.965,152.412,157.768,11.72916667,36,-1.1552251627369503
2019-01-05 20:00:00,107.861,119.965,152.412,11.13416667,36,-3.6867239778193617
2019-01-05 21:00:00,104.382,107.861,119.965,10.82166667,36,-5.966978646412833
2019-01-05 22:00:00,105.424,104.382,107.861,10.7525,36,-7.840593581151714
2019-01-05 23:00:00,103.207,105.424,104.382,10.40666667,36,-9.179885020528637
2019-01-06 00:00:00,134.892,103.207,105.424,9.231666667,49,-9.893582466233818
2019-01-06 01:00:00,133.4,134.892,103.207,8.5075,49,-9.933048616783237
2019-01-06 02:00:00,130.17,133.4,134.892,8.900833333,49,-9.29559391923785
2019-01-06 03:00:00,130.652,130.17,133.4,8.611666667,49,-8.024659857791685
2019-01-06 04:00:00,128.067,130.652,130.17,7.439166667,49,-6.2068584884144515
