,Power [kW],Temperature [C],Relative Humidity (%),Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rain [mm/h],Rain Day,Holiday,Power-1,Power-2,Month,Hour,Week Day,Weekend,HDH,logtemp,WeekDay^2,Sin_hour
2017-01-01 02:00:00,74.2081752,7.263416666666667,80.27499999999999,3.30025,4.067166666666666,1028.0,1.4150833333333335,0.0,0.0,1,75.1735565,74.897706,1,2,7,1,8.736583333333332,1.982850333375425,49,-9.29559391923785
2017-01-01 03:00:00,73.7358886,6.831333333333333,81.33333333333333,3.534333333333333,4.423583333333333,1028.0,1.5419999999999998,0.0,0.0,1,74.2081752,75.1735565,1,3,7,1,9.168666666666667,1.9215198717094164,49,-8.024659857791685
2017-01-01 04:00:00,75.1023508,6.50025,81.24166666666666,4.006,5.262333333333333,1028.0,0.891,0.0,0.0,1,73.7358886,74.2081752,1,4,7,1,9.499749999999999,1.871840637700427,49,-6.2068584884144515
2017-01-01 05:00:00,75.7873,6.0064166666666665,81.00833333333334,4.552833333333333,6.0793333333333335,1028.0,1.3758333333333332,0.0,0.0,1,75.1023508,73.7358886,1,5,7,1,9.993583333333333,1.7928283422241746,49,-3.9660699703704005
2017-01-01 06:00:00,77.6023772,5.645833333333333,80.44166666666666,4.004416666666667,5.346416666666666,1027.0,0.988,0.0,0.0,1,75.7873,75.1023508,1,6,7,1,10.354166666666668,1.7309178099718099,49,-1.455000338086136
2017-01-01 07:00:00,78.4381374,5.47775,80.19166666666666,3.17625,4.654166666666667,1027.0,1.4661666666666668,0.0,0.0,1,77.6023772,75.7873,1,7,7,1,10.52225,1.7006944327056528,49,1.1552251627369516
2017-01-01 08:00:00,79.3300222,5.4102500000000004,80.35833333333333,3.4609166666666664,4.402333333333334,1027.0,29.54975,0.0,0.0,1,78.4381374,77.6023772,1,8,7,1,10.589749999999999,1.688295302511595,49,3.686723977819363
2017-01-01 09:00:00,79.1734842,5.480583333333333,80.09166666666667,4.51075,5.680666666666667,1027.0,76.49416666666667,0.0,0.0,1,79.3300222,78.4381374,1,9,7,1,10.519416666666668,1.7012115429833354,49,5.966978646412833
2017-01-01 10:00:00,79.9118854,6.0168333333333335,78.79166666666667,3.9555000000000002,5.324916666666667,1027.0,192.8083333333333,0.0,0.0,1,79.1734842,79.3300222,1,10,7,1,9.983166666666666,1.7945610965581442,49,7.8405935811517145
2017-01-01 11:00:00,79.9960723,6.882416666666667,76.29166666666667,2.4581666666666666,3.3125,1026.1666666666667,237.49166666666667,0.0,0.0,1,79.9118854,79.1734842,1,11,7,1,9.117583333333332,1.9289698499579326,49,9.17988502052864
2017-01-01 12:00:00,78.9804843,7.56,75.31666666666666,2.150583333333333,2.8511666666666664,1025.1666666666667,267.5,0.0,0.0,1,79.9960723,79.9118854,1,12,7,1,8.440000000000001,2.0228711901914416,49,9.893582466233818
2017-01-01 13:00:00,80.4000167,8.73,72.74916666666667,1.5585000000000002,2.222166666666667,1023.6666666666666,203.54999999999998,0.0,0.0,1,78.9804843,79.9960723,1,13,7,1,7.27,2.166765369851511,49,9.933048616783237
2017-01-01 14:00:00,82.9294417,9.809166666666666,70.03083333333333,1.0795833333333333,1.719083333333333,1023.0,146.23333333333332,0.0,0.0,1,80.4000167,78.9804843,1,14,7,1,6.190833333333334,2.283317322636389,49,9.295593919237854
2017-01-01 15:00:00,84.2287071,9.735833333333334,71.41083333333333,1.9410833333333333,2.411,1022.25,124.28333333333335,0.0,0.0,1,82.9294417,80.4000167,1,15,7,1,6.264166666666666,2.275813236941057,49,8.024659857791692
2017-01-01 16:00:00,84.272805,9.525833333333333,73.75833333333334,1.3505,1.761,1022.0,56.92416666666667,0.0,0.0,1,84.2287071,82.9294417,1,16,7,1,6.474166666666667,2.254007406249687,49,6.206858488414452
2017-01-01 17:00:00,85.5831426,8.9725,76.35833333333333,2.4476666666666667,2.998083333333333,1022.0,5.232166666666667,0.0,0.0,1,84.272805,84.2287071,1,17,7,1,7.0275,2.1941643440396255,49,3.96606997037041
2017-01-01 18:00:00,85.158581,8.865,76.30833333333334,2.7325,3.3335000000000004,1021.5833333333334,1.5073333333333334,0.0,0.0,1,85.5831426,84.272805,1,18,7,1,7.135,2.1821109395261713,49,1.455000338086137
2017-01-01 19:00:00,86.1590879,8.984166666666667,75.88333333333334,2.2152499999999997,2.8722499999999997,1021.0,1.4498333333333333,0.0,0.0,1,85.158581,85.5831426,1,19,7,1,7.015833333333333,2.1954637687630263,49,-1.1552251627369503
2017-01-01 20:00:00,87.6857152,9.186666666666667,76.85833333333333,1.7769166666666667,2.2223333333333333,1020.0,1.3549999999999998,0.0,0.0,1,86.1590879,85.158581,1,20,7,1,6.813333333333333,2.217753157477348,49,-3.6867239778193617
2017-01-01 21:00:00,86.0090405,9.174166666666666,78.60000000000001,0.4088333333333333,0.6499166666666666,1019.3333333333334,1.3435833333333334,0.0,0.0,1,87.6857152,86.1590879,1,21,7,1,6.825833333333334,2.2163915632943114,49,-5.966978646412833
2017-01-01 22:00:00,87.447472,10.0075,77.71666666666667,1.6318333333333335,2.3691666666666666,1018.9166666666666,1.2211666666666667,0.0,0.0,1,86.0090405,87.6857152,1,22,7,1,5.9925,2.3033348118845915,49,-7.840593581151714
2017-01-01 23:00:00,88.2941135,9.882307692307693,80.23846153846154,1.9721538461538464,3.193076923076923,1018.0,1.5002307692307693,0.0,0.0,1,87.447472,86.0090405,1,23,7,1,6.117692307692307,2.2907460565819817,49,-9.179885020528637
2017-01-02 00:00:00,102.1729253,9.471666666666666,83.45833333333333,2.7464999999999997,3.5850833333333334,1017.0833333333334,1.1796666666666666,0.0,0.0,0,88.2941135,87.447472,1,0,1,0,6.528333333333334,2.248304886080975,1,-9.893582466233818
2017-01-02 01:00:00,94.6949905,10.209166666666667,84.08333333333333,3.8714166666666667,4.926833333333334,1015.9166666666666,1.8166666666666667,0.0,0.0,0,102.1729253,88.2941135,1,1,1,0,5.7908333333333335,2.3232860095180787,1,-9.933048616783237
2017-01-02 02:00:00,89.2348687,9.975833333333332,85.5,5.83875,6.771666666666667,1015.0,1.1193333333333333,0.0,0.0,0,94.6949905,102.1729253,1,2,1,0,6.024166666666668,2.300165501475278,1,-9.29559391923785
2017-01-02 03:00:00,81.9493611,9.791666666666666,87.19166666666666,5.2955,6.499333333333333,1014.5,1.5486666666666666,0.0,0.0,0,89.2348687,94.6949905,1,3,1,0,6.208333333333334,2.281531683796213,1,-8.024659857791685
2017-01-02 04:00:00,77.9967766,9.895,86.625,5.0281666666666665,7.2547500000000005,1014.0,1.507,0.0,0.0,0,81.9493611,89.2348687,1,4,1,0,6.105,2.292029579054529,1,-6.2068584884144515
2017-01-02 05:00:00,90.0515389,10.0425,84.8,5.5921666666666665,7.777833333333334,1013.3333333333334,1.5416666666666667,0.0,0.0,0,77.9967766,81.9493611,1,5,1,0,5.9575,2.3068260872513005,1,-3.9660699703704005
2017-01-02 06:00:00,107.0865004,10.42,81.575,7.30725,9.330666666666668,1013.0,1.7425833333333334,0.0,0.0,0,90.0515389,77.9967766,1,6,1,0,5.58,2.343727036325221,1,-1.455000338086136
2017-01-02 07:00:00,179.3064521,10.256666666666666,82.43333333333334,8.137666666666666,10.125833333333334,1013.0,1.7679166666666666,0.0,0.0,0,107.0865004,90.0515389,1,7,1,0,5.743333333333334,2.327927900665841,1,1.1552251627369516
2017-01-02 08:00:00,296.4585368,10.105833333333333,80.65833333333333,9.291333333333334,11.258333333333333,1013.0,18.456583333333334,0.0,0.0,0,179.3064521,107.0865004,1,8,1,0,5.894166666666667,2.3131128148807,1,3.686723977819363
2017-01-02 09:00:00,328.9102005,10.384166666666667,79.49166666666666,7.584666666666667,9.685916666666667,1013.3333333333334,42.23916666666667,0.0,0.0,0,296.4585368,179.3064521,1,9,1,0,5.615833333333333,2.3402822101667757,1,5.966978646412833
2017-01-02 10:00:00,371.5450429,10.936666666666667,77.7,8.448,10.6275,1014.0,51.625,0.0,0.0,0,328.9102005,296.4585368,1,10,1,0,5.063333333333333,2.392121058304901,1,7.8405935811517145
2017-01-02 11:00:00,384.7177156,11.874166666666667,74.7,7.610499999999999,9.770000000000001,1013.5833333333334,40.54833333333333,0.0,0.0,0,371.5450429,328.9102005,1,11,1,0,4.125833333333333,2.4743651720196973,1,9.17988502052864
2017-01-02 12:00:00,382.6758492,12.63,73.76666666666667,6.322833333333333,7.84025,1012.9166666666666,50.6325,0.0,0.0,0,384.7177156,371.5450429,1,12,1,0,3.369999999999999,2.5360749363624,1,9.893582466233818
